date,p50,lower_80,upper_80
2026-01-01,110.5,71.3,150.2
2026-01-02,108.4,68.5,148.1
2026-01-03,112.3,72.4,151.3
2026-01-04,118.3,78.3,154.7
2026-01-05,122.3,82.4,161.4
2026-01-06,121.4,80.5,160.4
2026-01-07,120.7,75.5,157.1
2026-01-08,110.8,70.9,150.6
2026-01-09,108.7,68.8,147.6
2026-01-10,112.6,72.7,151.6
2026-01-11,118.6,77.7,157.6
2026-01-12,122.6,81.7,159.0
2026-01-13,121.7,80.8,161.4
2026-01-14,120.9,81.8,160.7
2026-01-15,111.1,72.9,150.8
2026-01-16,108.9,69.1,148.7
2026-01-17,112.9,67.3,152.6
2026-01-18,118.9,78.0,157.8
2026-01-19,122.9,77.7,162.6
2026-01-20,121.9,81.1,160.9
2026-01-21,121.2,80.3,161.9
2026-01-22,111.3,70.5,151.1
2026-01-23,109.2,68.3,148.9
2026-01-24,113.1,72.3,152.2
2026-01-25,119.2,79.3,158.9
2026-01-26,123.1,82.2,162.9
2026-01-27,122.2,81.3,161.2
2026-01-28,121.5,82.3,160.5
2026-01-29,111.6,70.7,147.8
2026-01-30,109.5,69.6,149.2
2026-01-31,113.4,73.5,153.1
2026-02-01,120.7,79.8,159.6
2026-02-02,124.7,84.8,163.6
2026-02-03,123.7,83.9,162.7
2026-02-04,123.0,82.1,162.7
2026-02-05,113.2,72.3,153.9
2026-02-06,111.0,70.1,150.7
2026-02-07,114.9,75.1,153.9
2026-02-08,121.0,75.8,159.9
2026-02-09,124.9,85.1,164.7
2026-02-10,124.0,83.1,163.0
2026-02-11,123.3,83.4,159.7
2026-02-12,113.4,74.2,153.1
2026-02-13,111.3,71.4,150.3
2026-02-14,115.2,75.3,151.6
2026-02-15,121.2,80.3,157.6
2026-02-16,125.2,85.3,164.3
2026-02-17,124.3,85.1,164.0
2026-02-18,123.6,82.7,163.3
2026-02-19,113.7,68.5,153.4
2026-02-20,111.6,70.7,147.7
2026-02-21,115.5,75.5,155.2
2026-02-22,121.5,80.6,160.5
2026-02-23,125.5,86.3,164.5
2026-02-24,124.6,83.7,164.3
2026-02-25,123.8,83.9,163.6
2026-02-26,114.0,73.1,150.4
2026-02-27,111.8,66.7,150.8
2026-02-28,115.8,74.9,156.5
2026-03-01,114.3,73.4,150.7
2026-03-02,118.3,69.0,158.0
2026-03-03,117.3,72.2,154.0
2026-03-04,116.6,71.4,153.0
2026-03-05,106.7,67.6,146.5
2026-03-06,104.6,63.7,143.7
2026-03-07,108.5,63.4,148.3
2026-03-08,114.6,74.7,154.3
2026-03-09,118.5,78.7,157.5
2026-03-10,117.6,78.4,157.3
2026-03-11,116.9,77.7,155.9
2026-03-12,107.0,67.1,146.7
2026-03-13,104.9,64.0,143.9
2026-03-14,108.8,63.6,145.2
2026-03-15,114.8,73.9,155.6
2026-03-16,118.8,77.9,157.8
2026-03-17,117.9,77.0,154.6
2026-03-18,117.2,72.0,156.1
2026-03-19,107.3,66.4,143.7
2026-03-20,105.2,65.3,144.1
2026-03-21,109.1,68.2,148.1
2026-03-22,115.1,69.9,151.5
2026-03-23,119.1,79.2,155.5
2026-03-24,118.2,78.3,157.9
2026-03-25,117.4,72.3,156.4
2026-03-26,107.6,66.7,146.5
2026-03-27,105.4,64.5,141.8
2026-03-28,109.4,69.5,145.6
2026-03-29,115.4,75.5,155.1
2026-03-30,119.4,78.5,158.3
2026-03-31,118.4,77.6,154.8
